Nama Pengguna,Teks Ulasan,Rating Bintang,Tanggal Ulasan,Jumlah Likes,Ulasan Bersih,bahasa,AutoLabel_Cerita,AutoLabel_Gameplay,AutoLabel_Grafis,AutoLabel_Bugs & Error,AutoLabel_Optimalisasi,AutoLabel_Monetisasi & Gacha,AutoLabel_Komunitas
Pengguna Google,saya ingin game ini memiliki subtitle indo sekian terimakasih,3,2025-06-28 14:31:54,0,ingin game milik subtitle indo sekian terimakasih,id,0,1,0,0,0,0,0
Pengguna Google,game paling ngga stabil apalagi soal pin jaringan nya sering merah terus padahal jaringan paket gw stabil ...kalo di bandingin sama game honkai inpact3 masih stabilan pin honkai,1,2025-06-28 14:19:14,0,game paling ngga stabil soal pin jaring nya sering merah terus padahal jaring paket gua stabil kalau bandingin sama game honkai inpact stabil pin honkai,id,0,1,0,0,0,0,0
Pengguna Google,"udah download lama lama, datanya malah corupt",1,2025-06-28 11:54:42,0,download lama lama data malah corupt,id,0,0,0,1,0,0,0
Pengguna Google,tolong tambahkan fitur hapus data/quest terdahulu karena size sekarang besar banget ketimbang baru rilis dulu🙏,5,2025-06-28 10:50:54,0,tambah fitur hapus dataquest dahulu size sekarang besar banget ketimbang baru rilis dulu,id,0,1,0,0,0,0,0
Pengguna Google,"player baru sampai UL 45, berasa ini game 11/12 kikirnya sama gi: - gacha selalu dpt diatas pity 70-77 (gi juga gitu) tp ini lebih parah - ga pernah menang rate off - farm echos atau up stat echos selalu def hp yg naik - bug event atau quest kalau bisa ini ga saya kasih bintang, game rusak. sumpah 3x berturut2 kalah rate off high pity diatas 70 terus. JANGAN TERGIUR REWARD BANYAK, PERCUMA KALAU DIKASIH HIGH PITY TERUS, JANGAN HARAP DENGAN GAME GILA 👎",1,2025-06-28 10:49:59,2,player baru ul asa game kikir sama gi gacha selalu atas pity gi begitu tp lebih parah pernah menang rate off farm echos up status echos selalu def hp naik bug event quest kalau ini saya kasih bintang game rusak sumpah x turut kalah rate off high pity atas terus jangan giur reward banyak percuma kalau kasih high pity terus jangan harap game gila,id,0,1,0,1,0,0,0
Pengguna Google,Tolong kalau bisa disesuaikan lagi grafiknya agar hp kentang bisa main ini game😁 Mediatek G88 gak kuat rek rek🗿,5,2025-06-28 9:26:48,2,kalau sesuai grafik hp kentang main game mediatek g kuat rek rek,id,0,0,1,0,0,0,0
Pengguna Google,Kasih lah bahasa Indonesia...,2,2025-06-28 8:28:11,0,kasih lah bahasa indonesia,id,0,0,0,0,0,0,0
Pengguna Google,"Semoga ada bahasa indonesianya, overall bagus semua",5,2025-06-28 8:10:52,0,moga bahasa indonesia overall bagus semua,id,0,0,0,0,1,0,0
Pengguna Google,gua ga pernah top up man gua bisa c1 character b5 gila sayang gua game ini,5,2025-06-28 7:25:13,0,gua pernah top up man gua c character b gila sayang gua game,id,0,1,0,0,0,0,0
Pengguna Google,bisa minta tolong developer. aku ingin memainkan game ini di mediatek helio g81,5,2025-06-28 7:16:26,0,minta developer aku main game di mediatek hio g,id,0,1,0,0,0,0,0
