Negara,B-10 (Kg),N-10 (USD),B-11 (Kg),N-11 (USD),B-12 (Kg),N-12 (USD),B-13 (Kg),N-13 (USD),B-14 (Kg),N-14 (USD),B-15 (Kg),N-15 (USD),B-16 (Kg),N-16 (USD),B-17 (Kg),N-17 (USD),B-18 (Kg),N-18 (USD),B-19 (Kg),N-19 (USD),B-20 (Kg),N-20 (USD),B-21 (Kg),N-21 (USD)
Afrika Selatan,410925.0,3781509.0,540736.0,5749429.0,296449.0,1874391.0,155523.0,1570822.0,55525.0,479494.0,"77607,84","581528,91","110001,46","1052740,51","31255,69","240012,23","40501,34","291926,45","14477,36","115884,47","14301,7","1187,9","2755,3","29524,62"
Albania,100.0,500.0,40.0,200.0,,,,,,,,,,,,,,,,,,,,
Aljazair,28356.0,25349.0,19332.0,295350.0,,,,,6788.0,144585.0,5621,134112,,,,,,,,,,,,
Amerika Serikat,28772345.0,557758360.0,28728955.0,639544805.0,6521473.0,150177953.0,5531549.0,125879403.0,3859341.0,93663138.0,"5649020,059","135898590,1","5361982,64","127465549,9","2335990,27","48566661,36","1448409,27","28126317,21","1239081,65","24753192,22","19707557,47","1047693,11","1211509,9","24709455,73"
Angola,354.0,3870.0,,,,,,,,,,,,,,,,,,,,,,
Argentina,18243.0,187419.0,16303.0,681380.0,1994.0,77349.0,,,118.0,4898.0,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,7,"53,2",,,,,,,,,,
Australia,340790.0,5856752.0,426060.0,9308522.0,84812.0,2183613.0,32459.0,643772.0,101102.0,2210173.0,"116084,08","2655937,27","151590,47","3200991,9","46827,12","873439,52","31074,34","615326,06","19712,98","499468,88","521102,61","22364,01","20508,49","516951,11"
Austria,14145.0,233771.0,10146.0,166093.0,30.0,338.0,,,26.0,360.0,,,,,,,66,"3390,3",50,"1327,54","77,1","3,4","28,2","782,65"
Bahama,176.0,927.0,218.0,389.0,,,,,,,,,,,,,,,,,"1122,18","4,66",,
Bahrain,618.0,7236.0,699.0,6010.0,,,11560.0,156560.0,10483.0,143882.0,,,,,,,,,,,"824,77","2,95","0,56","91,27"
Bangladesh,324668.0,1929146.0,306563.0,1823733.0,194128.0,1180533.0,245168.0,2612111.0,53853.0,812945.0,93748,"906979,71","83408,13","972146,09","3317,91","47487,34",,,"8945,7","91224,8",,,,
Barbados,118.0,2539.0,32.0,534.0,,,,,,,,,63,63,,,,,225,"8850,74","998,81","3,15",,
