Nama Pengguna,Teks Ulasan,Rating Bintang,Tanggal Ulasan,Jumlah Likes,Ulasan Bersih,bahasa,auto_labels,auto_labels_list
Pengguna Google,pelit pengen karakter aja susah malah dapet yg lain lain😡,1,2025-06-20 14:40:33,0,pelit ken karakter susah malah dapet lain,id,"{'sequence': 'pelit ken karakter susah malah dapet lain', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Cerita', 'Optimalisasi', 'Bugs & Error', 'Grafis', 'Gameplay'], 'scores': [0.5812872648239136, 0.5751579999923706, 0.5666766166687012, 0.5655183792114258, 0.5642056465148926, 0.5566396713256836, 0.5565636157989502]}",[]
Pengguna Google,"farming artefak engga pernah dikasih stat/sub stat yang di incar terus pas ngegacha banner udah pity 80 masih aja gak dapet, kikir amat bjir",1,2025-06-20 14:00:33,0,farming artefak engga pernah kasih statsub stat di incar terus pas ngegacha banner udah pity saja dapet kikir bjir,id,"{'sequence': 'farming artefak engga pernah kasih statsub stat di incar terus pas ngegacha banner udah pity saja dapet kikir bjir', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Cerita', 'Bugs & Error', 'Optimalisasi', 'Gameplay', 'Grafis'], 'scores': [0.5818710923194885, 0.5760257840156555, 0.5712300539016724, 0.5711753368377686, 0.5700049996376038, 0.5697272419929504, 0.56514573097229]}",[]
Pengguna Google,"udah ngga worth it, perbaiki diri mu genshin, dengarin keluhan player mu, kau ngga akan bisa bertahan kalo player mu meninggalkan mu terlanjur kecewa",1,2025-06-20 13:49:19,0,udah ngga worth it baik diri mu genshin dengarin keluh player mu kau ngga bisa tahan kalau player mu tinggal mu lanjur kecewa,id,"{'sequence': 'udah ngga worth it baik diri mu genshin dengarin keluh player mu kau ngga bisa tahan kalau player mu tinggal mu lanjur kecewa', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Cerita', 'Bugs & Error', 'Grafis', 'Gameplay'], 'scores': [0.605086624622345, 0.6000813841819763, 0.5992640852928162, 0.5959065556526184, 0.5944033861160278, 0.5940781235694885, 0.5914783477783203]}","['Monetisasi & Gacha', 'Komunitas']"
Pengguna Google,kasih fitur skip.,1,2025-06-20 13:22:21,0,kasih fitur skip,sq,"{'sequence': 'kasih fitur skip', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Gameplay', 'Optimalisasi', 'Bugs & Error', 'Cerita', 'Grafis'], 'scores': [0.5799748301506042, 0.5769781470298767, 0.5687101483345032, 0.5677357912063599, 0.5672096610069275, 0.56139075756073, 0.560062825679779]}",[]
Pengguna Google,peak update,5,2025-06-20 13:16:04,0,peak update,id,"{'sequence': 'peak update', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Bugs & Error', 'Gameplay', 'Grafis', 'Cerita'], 'scores': [0.6031228303909302, 0.594364583492279, 0.5881884694099426, 0.587709903717041, 0.5870179533958435, 0.5849024057388306, 0.5782290101051331]}",['Monetisasi & Gacha']
Pengguna Google,seru,5,2025-06-20 12:54:24,0,seru,pendek,"{'sequence': 'seru', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Bugs & Error', 'Grafis', 'Cerita', 'Gameplay'], 'scores': [0.5888258218765259, 0.5838893055915833, 0.5718831419944763, 0.5713328123092651, 0.5689902305603027, 0.5679821968078613, 0.5648383498191833]}",[]
Pengguna Google,"game tidak ada perkembangan sama sekali, scene2 kaku, desain karakter.",1,2025-06-20 12:30:33,0,game ada kembang sama sekali scene kaku desain karakter,id,"{'sequence': 'game ada kembang sama sekali scene kaku desain karakter', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Cerita', 'Bugs & Error', 'Gameplay', 'Grafis'], 'scores': [0.5612297058105469, 0.5567870140075684, 0.5521915555000305, 0.5514432191848755, 0.550746738910675, 0.5492292046546936, 0.5467146039009094]}",[]
Pengguna Google,Kuota ku habis cuman untuk mendondlod data Diberi pilihan 20 GB/30GB,2,2025-06-20 12:19:57,0,kuota ku habis cuman mendondlod data beri pilih gbgb,id,"{'sequence': 'kuota ku habis cuman mendondlod data beri pilih gbgb', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Grafis', 'Bugs & Error', 'Gameplay', 'Cerita'], 'scores': [0.6116058230400085, 0.6011908650398254, 0.5964024066925049, 0.5945176482200623, 0.5944569706916809, 0.5846821069717407, 0.5836141109466553]}","['Monetisasi & Gacha', 'Komunitas']"
Pengguna Google,bagus banget gamenya🤩,5,2025-06-20 11:42:21,0,bagus banget gamenya,id,"{'sequence': 'bagus banget gamenya', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Bugs & Error', 'Gameplay', 'Optimalisasi', 'Cerita', 'Grafis'], 'scores': [0.5744050741195679, 0.562677800655365, 0.5557698607444763, 0.5517164468765259, 0.5502516031265259, 0.5456714630126953, 0.5433870553970337]}",[]
Pengguna Google,game e apik poll lek hp ne kentang ojok maksa,5,2025-06-20 10:58:58,0,game e apik poll lek hp ne kentang ojok maksa,et,"{'sequence': 'game e apik poll lek hp ne kentang ojok maksa', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Bugs & Error', 'Optimalisasi', 'Gameplay', 'Cerita', 'Grafis'], 'scores': [0.5886173844337463, 0.5819550156593323, 0.5795179009437561, 0.5703417658805847, 0.5700797438621521, 0.565992534160614, 0.5656322836875916]}",[]
Pengguna Google,sering frame walau internet bagus,4,2025-06-20 10:33:48,0,sering frame internet bagus,da,"{'sequence': 'sering frame internet bagus', 'labels': ['Komunitas', 'Optimalisasi', 'Monetisasi & Gacha', 'Cerita', 'Gameplay', 'Bugs & Error', 'Grafis'], 'scores': [0.5582031011581421, 0.5505722761154175, 0.5488660335540771, 0.5423022508621216, 0.5402435064315796, 0.5369892120361328, 0.5356776714324951]}",[]
Pengguna Google,bisa lebih dongo lagi kaga nih fansnya,5,2025-06-20 10:10:21,0,lebih dongo kaga nih fansnya,id,"{'sequence': 'lebih dongo kaga nih fansnya', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Bugs & Error', 'Cerita', 'Grafis', 'Optimalisasi', 'Gameplay'], 'scores': [0.595005452632904, 0.5848866701126099, 0.5782588720321655, 0.5723569393157959, 0.5700218677520752, 0.5675410628318787, 0.5673426389694214]}",[]
Pengguna Google,"game gaada perkembangan, kenapa si hoyo susah bgt bikin perkembangan di genshin? hsr hi3 zzz itu berkembang banget",1,2025-06-20 10:07:34,0,game gaada kembang si hoyo susah banget bikin kembang genshin hsr hi zzz kembang banget,id,"{'sequence': 'game gaada kembang si hoyo susah banget bikin kembang genshin hsr hi zzz kembang banget', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Bugs & Error', 'Gameplay', 'Cerita', 'Grafis'], 'scores': [0.5574896931648254, 0.5514175891876221, 0.5479013919830322, 0.5471334457397461, 0.5398247241973877, 0.5362043976783752, 0.5346148014068604]}",[]
Pengguna Google,game punya potensi tapi di pegang sama orang yang g kreatif,1,2025-06-20 10:03:35,10,game punya potensi di pegang sama orang g kreatif,id,"{'sequence': 'game punya potensi di pegang sama orang g kreatif', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Bugs & Error', 'Gameplay', 'Grafis', 'Cerita'], 'scores': [0.5882883667945862, 0.582202672958374, 0.572269082069397, 0.5701393485069275, 0.5686506032943726, 0.5653610229492188, 0.5648882985115051]}",[]
Pengguna Google,game jelek mending main Wuthering Waves,1,2025-06-20 09:43:03,0,game jelek mending main wuthering waves,en,"{'sequence': 'game jelek mending main wuthering waves', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Bugs & Error', 'Optimalisasi', 'Gameplay', 'Cerita', 'Grafis'], 'scores': [0.5834935307502747, 0.5736688375473022, 0.5699101686477661, 0.566291332244873, 0.5650476813316345, 0.5601369142532349, 0.5589233636856079]}",[]
Pengguna Google,"terimakasih sudah tidak kikir,semoga makin banyak bansos. grafiknya keren, quest dan storynya luar biasa lorenya, ngebuat kita banyak berteori tentang asal usul teyvat. camera movementnya cinematic smooth keren. character lumayan balance gak kaya ""HSR"". Natlan tu apa lagi, wih bagus banget jadi dino di 6 tribe berbeda, fitur skip story sepertinya tidak butuh agar orang minimal tau story gak asal main dmg gede..overall game bagus, mungkin untuk early game memang agak berat tapi ya namanya proses",1,2025-06-20 09:37:19,6,terimakasih kikirsemoga makin banyak bansos grafik keren quest storynya luar biasa lorenya ngebuat banyak teori asal usul teyvat camera movementnya cinematic smooth keren character lumayan balance kaya hsr natlan tu apa wih bagus banget jadi dino tribe beda fitur skip story seperti butuh orang minimal tau story tidak asal main dmg gedeoverall game bagus mungkin early game memang berat ya nama proses,id,"{'sequence': 'terimakasih kikirsemoga makin banyak bansos grafik keren quest storynya luar biasa lorenya ngebuat banyak teori asal usul teyvat camera movementnya cinematic smooth keren character lumayan balance kaya hsr natlan tu apa wih bagus banget jadi dino tribe beda fitur skip story seperti butuh orang minimal tau story tidak asal main dmg gedeoverall game bagus mungkin early game memang berat ya nama proses', 'labels': ['Komunitas', 'Monetisasi & Gacha', 'Optimalisasi', 'Cerita', 'Bugs & Error', 'Gameplay', 'Grafis'], 'scores': [0.558788001537323, 0.5579837560653687, 0.5530273914337158, 0.5520795583724976, 0.5518860220909119, 0.5517482161521912, 0.545856773853302]}",[]
Pengguna Google,"the way they nerfed ayato just so ayaka can outshine him is just sucks, im losing hope with this game cause they make ayato kit so bad, imagine level 90 ayato with 70 crit rate and 180 crit damage yet my ayaka that i didnt build do more damage than him, its not a skill issue its just they made ayato have the worst kit out of all characters in genshin, its NOT fair especially since ayato is a 5 star they could do better and imagine c0 R1 arlecchino is actually better than C6 R5 ayato.",1,2025-06-20 09:23:55,0,the way they nerfed ayato just so ayaka can outshine him is just sucks im losing hope with this game cause they make ayato kit so bad imagine level ayato with crit rate and crit damage yet my ayaka that i didnt build do more damage than him its not a skill issue its just they made ayato have the worst kit out of all characters in genshin its not fair especially since ayato is a star they could do better and imagine c r arlecchino is actually better than c r ayato,en,"{'sequence': 'the way they nerfed ayato just so ayaka can outshine him is just sucks im losing hope with this game cause they make ayato kit so bad imagine level ayato with crit rate and crit damage yet my ayaka that i didnt build do more damage than him its not a skill issue its just they made ayato have the worst kit out of all characters in genshin its not fair especially since ayato is a star they could do better and imagine c r arlecchino is actually better than c r ayato', 'labels': ['Monetisasi & Gacha', 'Gameplay', 'Komunitas', 'Optimalisasi', 'Grafis', 'Bugs & Error', 'Cerita'], 'scores': [0.5572764277458191, 0.5565102100372314, 0.556321918964386, 0.5550965070724487, 0.5537295937538147, 0.5535237193107605, 0.5528944134712219]}",[]
Pengguna Google,kerenn,5,2025-06-20 08:15:31,0,kerenn,pendek,"{'sequence': 'kerenn', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Grafis', 'Bugs & Error', 'Gameplay', 'Cerita'], 'scores': [0.579699695110321, 0.5754992365837097, 0.5715641379356384, 0.5634456276893616, 0.562377393245697, 0.5609769225120544, 0.5601283311843872]}",[]
Pengguna Google,"game sampah, cuma ganti akun doang jadi ga bisa login lagii👎",1,2025-06-20 08:08:24,0,game sampah cuma ganti akun doang jadi bisa login lagi,id,"{'sequence': 'game sampah cuma ganti akun doang jadi bisa login lagi', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Gameplay', 'Bugs & Error', 'Grafis', 'Cerita'], 'scores': [0.5924242734909058, 0.5739725828170776, 0.5689421892166138, 0.5684884190559387, 0.5681969523429871, 0.5616785883903503, 0.5585262775421143]}",[]
Pengguna Google,Tolong tambah kan fitur Skip dialog sebagai player lama di genshin impact buat akun baru ini sangat lah mengganggu apa lagi quest arcon/dll dialog ya rata rata bisu npc ya tolong dong kasih Skip dialog,2,2025-06-20 07:56:31,1,tambah kan fitur skip dialog player lama genshin impact buat akun baru sangat lah ganggu apa quest arcondll dialog rata rata bisu npc tolong dong kasih skip dialog,id,"{'sequence': 'tambah kan fitur skip dialog player lama genshin impact buat akun baru sangat lah ganggu apa quest arcondll dialog rata rata bisu npc tolong dong kasih skip dialog', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Gameplay', 'Cerita', 'Bugs & Error', 'Grafis'], 'scores': [0.5926862359046936, 0.5898202061653137, 0.5856224894523621, 0.5848449468612671, 0.584221601486206, 0.584030032157898, 0.580517053604126]}",[]
Pengguna Google,echo nya kok w2p bnget ya? 😐,1,2025-06-20 07:10:17,0,echo wp bnget,nl,"{'sequence': 'echo wp bnget', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Bugs & Error', 'Gameplay', 'Grafis', 'Cerita'], 'scores': [0.6007635593414307, 0.5923166275024414, 0.5862205624580383, 0.5850837826728821, 0.5833109617233276, 0.5829948782920837, 0.5762340426445007]}",['Monetisasi & Gacha']
Pengguna Google,"game nya sangat bagus dan cerita game nya juga sangat menarik, tapi tolong tambahkan fitur skip story",4,2025-06-20 07:05:21,1,game sangat bagus cerita game sangat tarik tolong tambah fitur skip story,id,"{'sequence': 'game sangat bagus cerita game sangat tarik tolong tambah fitur skip story', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Bugs & Error', 'Gameplay', 'Cerita', 'Grafis'], 'scores': [0.5605944991111755, 0.554133415222168, 0.5494331121444702, 0.548987627029419, 0.5480290055274963, 0.5466580986976624, 0.5413147211074829]}",[]
Pengguna Google,bagus,5,2025-06-20 06:58:04,0,bagus,pendek,"{'sequence': 'bagus', 'labels': ['Komunitas', 'Monetisasi & Gacha', 'Optimalisasi', 'Grafis', 'Cerita', 'Gameplay', 'Bugs & Error'], 'scores': [0.5855516791343689, 0.5852438807487488, 0.5721162557601929, 0.5716847777366638, 0.5701427459716797, 0.5693243741989136, 0.5680059194564819]}",[]
Pengguna Google,GAME TAI,1,2025-06-20 06:48:11,0,game tai,pendek,"{'sequence': 'game tai', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Bugs & Error', 'Gameplay', 'Optimalisasi', 'Grafis', 'Cerita'], 'scores': [0.5879997611045837, 0.5754236578941345, 0.5731668472290039, 0.5653247237205505, 0.563021183013916, 0.560380756855011, 0.5592728853225708]}",[]
Pengguna Google,very good game,5,2025-06-20 06:47:09,0,very good game,en,"{'sequence': 'very good game', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Bugs & Error', 'Gameplay', 'Cerita', 'Optimalisasi', 'Grafis'], 'scores': [0.586502194404602, 0.5769309997558594, 0.5708422064781189, 0.5676618218421936, 0.5643640756607056, 0.5636979937553406, 0.5614364743232727]}",[]
Pengguna Google,kikirnya minta ampun,3,2025-06-20 06:35:13,0,kikir minta ampun,fi,"{'sequence': 'kikir minta ampun', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Cerita', 'Bugs & Error', 'Gameplay', 'Optimalisasi', 'Grafis'], 'scores': [0.5753282308578491, 0.560336709022522, 0.5579766631126404, 0.557009220123291, 0.5549365878105164, 0.5541984438896179, 0.5529434680938721]}",[]
Pengguna Google,game nya kikir bgt juga lama lama gamenya ngebosenin dan event nya sama banyakan ngikutin kyk yg dulu dulu itu seru banget quest nya gk panjang banget gk banyak omong sedangkan sekarang malah banyakan ngomongnya daripada mainnya saya sangat ingin jika genshin tidak kikir lagi dan gk terlalu banyak ngomong tapi saya juga bermain game game hoyo lain tapi dia tidak kikir dan game nya tidak ngebosenin semoga genshin tobat,1,2025-06-20 06:25:08,0,game kikir banget lama lama gamenya ngebosenin event sama banyak ngikutin kyk dulu dulu seru banget quest gk panjang banget gk banyak omong sekarang malah banyak ngomongnya main sangat jika genshin kikir gk terlalu banyak ngomong saya main game game hoyo tapi kikir dan game tidak ngebosenin moga genshin tobat,id,"{'sequence': 'game kikir banget lama lama gamenya ngebosenin event sama banyak ngikutin kyk dulu dulu seru banget quest gk panjang banget gk banyak omong sekarang malah banyak ngomongnya main sangat jika genshin kikir gk terlalu banyak ngomong saya main game game hoyo tapi kikir dan game tidak ngebosenin moga genshin tobat', 'labels': ['Komunitas', 'Monetisasi & Gacha', 'Optimalisasi', 'Bugs & Error', 'Gameplay', 'Grafis', 'Cerita'], 'scores': [0.552570104598999, 0.5520774722099304, 0.5493155121803284, 0.548570990562439, 0.5456876754760742, 0.5450917482376099, 0.5443426966667175]}",[]
Pengguna Google,semua udah bagus tapi Masi ada yang kurang,5,2025-06-20 06:12:42,0,semua udah bagus mas yang kurang,id,"{'sequence': 'semua udah bagus mas yang kurang', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Bugs & Error', 'Gameplay', 'Cerita', 'Grafis'], 'scores': [0.5816062688827515, 0.5726933479309082, 0.5663036704063416, 0.5612984299659729, 0.5608490109443665, 0.5601691007614136, 0.5594514012336731]}",[]
Pengguna Google,"good game, a game that is not boring right",5,2025-06-20 06:06:23,0,good game a game that is not boring right,en,"{'sequence': 'good game a game that is not boring right', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Bugs & Error', 'Gameplay', 'Optimalisasi', 'Cerita', 'Grafis'], 'scores': [0.5690586566925049, 0.5602563619613647, 0.5568434596061707, 0.5556766390800476, 0.5523355603218079, 0.5494428277015686, 0.5489569306373596]}",[]
Pengguna Google,sumpah petualangan nya bagus poll👍,5,2025-06-20 05:58:48,0,sumpah tualang bagus poll,id,"{'sequence': 'sumpah tualang bagus poll', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Bugs & Error', 'Cerita', 'Optimalisasi', 'Grafis', 'Gameplay'], 'scores': [0.5856627225875854, 0.58066326379776, 0.5742734670639038, 0.5727564096450806, 0.5727493762969971, 0.5722585916519165, 0.5683096051216125]}",[]
Pengguna Google,"bintang satu lagi gara2 animasi sahabat gelembung, mau sampe kapan kalian bodoamatan sama animasinya njir, game udah berjalan 5 tahun bukannya improve malah makin turun",1,2025-06-20 05:56:57,14,bintang satu gara animasi sahabat gelembung mau sampe kapan kalian bodoamatan sama animasi njir game udah jalan tahun bukan improve malah makin turun,id,"{'sequence': 'bintang satu gara animasi sahabat gelembung mau sampe kapan kalian bodoamatan sama animasi njir game udah jalan tahun bukan improve malah makin turun', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Cerita', 'Bugs & Error', 'Gameplay', 'Grafis'], 'scores': [0.5994722843170166, 0.5975854396820068, 0.5921118259429932, 0.5911130905151367, 0.5888741612434387, 0.5874045491218567, 0.5858538746833801]}",[]
Pengguna Google,Kikir Impact,1,2025-06-20 05:44:29,0,kikir impact,lt,"{'sequence': 'kikir impact', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Gameplay', 'Bugs & Error', 'Cerita', 'Optimalisasi', 'Grafis'], 'scores': [0.5930899381637573, 0.5840717554092407, 0.576154887676239, 0.5738568902015686, 0.5737506151199341, 0.5699799060821533, 0.5693552494049072]}",[]
Pengguna Google,makin kesini makin ampas story sama cutscene nya,1,2025-06-20 05:18:20,0,makin kesini makin ampas story sama cutscene,id,"{'sequence': 'makin kesini makin ampas story sama cutscene', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Gameplay', 'Bugs & Error', 'Cerita', 'Optimalisasi', 'Grafis'], 'scores': [0.5861291885375977, 0.5757497549057007, 0.5643234252929688, 0.5641786456108093, 0.5641663074493408, 0.5628708600997925, 0.5560272336006165]}",[]
Pengguna Google,"game kikirrrrrr, are try to rob me huh why are you make the 5 star character so hard to get and every patch you just gave 50+ fate for f2p, atleast you can gave us more event or something my map now is 100 ℅ I can't get more primo than before",1,2025-06-20 04:54:27,0,game kikirrrrrr are try to rob me huh why are you make the star character so hard to get and every patch you just gave fate for fp atleast you can gave us more event or something my map now is i cant get more primo than before,en,"{'sequence': 'game kikirrrrrr are try to rob me huh why are you make the star character so hard to get and every patch you just gave fate for fp atleast you can gave us more event or something my map now is i cant get more primo than before', 'labels': ['Monetisasi & Gacha', 'Bugs & Error', 'Komunitas', 'Optimalisasi', 'Grafis', 'Cerita', 'Gameplay'], 'scores': [0.5612341165542603, 0.5561507940292358, 0.5548977851867676, 0.5522366762161255, 0.5499909520149231, 0.5470128655433655, 0.5470002293586731]}",[]
Pengguna Google,banyak waifu :v,5,2025-06-20 04:33:27,0,banyak waifu v,sw,"{'sequence': 'banyak waifu v', 'labels': ['Komunitas', 'Monetisasi & Gacha', 'Optimalisasi', 'Cerita', 'Gameplay', 'Grafis', 'Bugs & Error'], 'scores': [0.5677425265312195, 0.5637928247451782, 0.5543890595436096, 0.553550660610199, 0.552799642086029, 0.5510484576225281, 0.5492217540740967]}",[]
Pengguna Google,ini kenapa ada pocong warna warni di quest skirk😭😭😭😭 aku takut😭😭😭,1,2025-06-20 04:15:29,0,kenapa pocong warna warni quest skirk aku takut,id,"{'sequence': 'kenapa pocong warna warni quest skirk aku takut', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Cerita', 'Optimalisasi', 'Bugs & Error', 'Gameplay', 'Grafis'], 'scores': [0.5442954897880554, 0.5368124842643738, 0.528084933757782, 0.5253961086273193, 0.5248732566833496, 0.5235670208930969, 0.5216572880744934]}",[]
Pengguna Google,"I hope it will be better in the future!, Animasi ultinya di bagusin lagi.....",4,2025-06-20 04:08:48,0,i hope it will be better in the future animasi ultinya bagusin,en,"{'sequence': 'i hope it will be better in the future animasi ultinya bagusin', 'labels': ['Monetisasi & Gacha', 'Optimalisasi', 'Komunitas', 'Cerita', 'Bugs & Error', 'Gameplay', 'Grafis'], 'scores': [0.5708236694335938, 0.5667637586593628, 0.5655549764633179, 0.5565869808197021, 0.5563370585441589, 0.5552190542221069, 0.5542901754379272]}",[]
Pengguna Google,tolong....biarkan layla saya pulang,3,2025-06-20 03:42:24,0,tolongbiarkan layla pulang,tl,"{'sequence': 'tolongbiarkan layla pulang', 'labels': ['Komunitas', 'Monetisasi & Gacha', 'Gameplay', 'Cerita', 'Optimalisasi', 'Bugs & Error', 'Grafis'], 'scores': [0.56141197681427, 0.5596808791160583, 0.5571203231811523, 0.5568484663963318, 0.5559853315353394, 0.5517119765281677, 0.5485044121742249]}",[]
Pengguna Google,tambahkan fitur skip story.,1,2025-06-20 03:27:26,0,tambah fitur skip story,id,"{'sequence': 'tambah fitur skip story', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Gameplay', 'Bugs & Error', 'Optimalisasi', 'Cerita', 'Grafis'], 'scores': [0.5648952722549438, 0.5537843108177185, 0.5461612939834595, 0.5458440780639648, 0.5448426604270935, 0.5413565635681152, 0.5387440323829651]}",[]
