Nama Pengguna,Teks Ulasan,Rating Bintang,Tanggal Ulasan,Jumlah Likes,Ulasan Bersih,bahasa,auto_labels,auto_labels_list
Pengguna Google,"The story is just peak, especially penacony. If you want to experience the best of hoyoverse game, play this game instead. edited: peaknacony after all boring yapping before climax and epilogue and oh my god amphoreus is extremely boring, i felt asleep a total of 3 times i stopped playing in 3.3",1,2025-06-20 13:08:34,0,the story is just peak especially penacony if you want to experience the best of hoyoverse game play this game instead edited peaknacony after all boring yapping before climax and epilogue and my god amphoreus is extremely boring i felt asleep a total of times i stopped playing in,en,"{'sequence': 'the story is just peak especially penacony if you want to experience the best of hoyoverse game play this game instead edited peaknacony after all boring yapping before climax and epilogue and my god amphoreus is extremely boring i felt asleep a total of times i stopped playing in', 'labels': ['Cerita', 'Komunitas', 'Gameplay', 'Optimalisasi', 'Bugs & Error', 'Grafis', 'Monetisasi & Gacha'], 'scores': [0.5175250768661499, 0.5149599313735962, 0.5142607688903809, 0.5139942765235901, 0.5129126906394958, 0.5123332142829895, 0.5118550062179565]}",[]
Pengguna Google,"perfect graphics, in terms of gameplay is also perfect, no minuses, this is a perfect game",5,2025-06-20 12:33:18,0,perfect graphics in terms of gameplay is also perfect no minuses this is a perfect game,en,"{'sequence': 'perfect graphics in terms of gameplay is also perfect no minuses this is a perfect game', 'labels': ['Cerita', 'Optimalisasi', 'Bugs & Error', 'Komunitas', 'Monetisasi & Gacha', 'Grafis', 'Gameplay'], 'scores': [0.5292912721633911, 0.5245159864425659, 0.523223876953125, 0.5220639109611511, 0.5194516181945801, 0.5179504156112671, 0.5170843005180359]}",[]
Pengguna Google,PEAK STORY,5,2025-06-20 08:06:53,0,peak story,sk,"{'sequence': 'peak story', 'labels': ['Cerita', 'Optimalisasi', 'Komunitas', 'Bugs & Error', 'Gameplay', 'Grafis', 'Monetisasi & Gacha'], 'scores': [0.5408302545547485, 0.5345028042793274, 0.5330055952072144, 0.5320919156074524, 0.5304709672927856, 0.5290930867195129, 0.520774245262146]}",[]
Pengguna Google,keren,5,2025-06-20 07:49:05,0,keren,pendek,"{'sequence': 'keren', 'labels': ['Cerita', 'Bugs & Error', 'Grafis', 'Komunitas', 'Gameplay', 'Optimalisasi', 'Monetisasi & Gacha'], 'scores': [0.5286471247673035, 0.5223355889320374, 0.521925151348114, 0.5206020474433899, 0.5168041586875916, 0.5123274922370911, 0.5065160393714905]}",[]
Pengguna Google,overall good,4,2025-06-20 05:54:24,0,overall good,en,"{'sequence': 'overall good', 'labels': ['Cerita', 'Gameplay', 'Grafis', 'Komunitas', 'Bugs & Error', 'Monetisasi & Gacha', 'Optimalisasi'], 'scores': [0.536475658416748, 0.5276654362678528, 0.527438759803772, 0.5272408127784729, 0.5235032439231873, 0.5195120573043823, 0.5170885324478149]}",[]
Pengguna Google,kurang bintangnya aku tambahin. game sebagus ini juga,5,2025-06-19 22:06:03,0,kurang bintang aku tambahin game bagus juga,id,"{'sequence': 'kurang bintang aku tambahin game bagus juga', 'labels': ['Bugs & Error', 'Cerita', 'Monetisasi & Gacha', 'Optimalisasi', 'Grafis', 'Komunitas', 'Gameplay'], 'scores': [0.5064067840576172, 0.5048962235450745, 0.5040700435638428, 0.5032160878181458, 0.5027425289154053, 0.50205397605896, 0.49875614047050476]}",[]
Pengguna Google,Tolong di perhatikan story telling nya!,5,2025-06-19 17:48:41,0,di perhati story telling,it,"{'sequence': 'di perhati story telling', 'labels': ['Cerita', 'Gameplay', 'Komunitas', 'Grafis', 'Optimalisasi', 'Bugs & Error', 'Monetisasi & Gacha'], 'scores': [0.5121304392814636, 0.5065164566040039, 0.5057224631309509, 0.5047948956489563, 0.504693865776062, 0.5028292536735535, 0.4997622072696686]}",[]
Pengguna Google,SETIAP LOGIN KOK ERROR TERUS TOLOL,5,2025-06-19 14:36:02,0,login error terus tolol,no,"{'sequence': 'login error terus tolol', 'labels': ['Cerita', 'Komunitas', 'Grafis', 'Gameplay', 'Bugs & Error', 'Monetisasi & Gacha', 'Optimalisasi'], 'scores': [0.5421233177185059, 0.5368374586105347, 0.5343608260154724, 0.5330893993377686, 0.5277706980705261, 0.5263915657997131, 0.5249212384223938]}",[]
Pengguna Google,LANGSUNG BINTANG 5 AJA WAK NO COMMENT,5,2025-06-19 06:41:46,0,langsung bintang wak no comment,tl,"{'sequence': 'langsung bintang wak no comment', 'labels': ['Cerita', 'Monetisasi & Gacha', 'Grafis', 'Komunitas', 'Bugs & Error', 'Optimalisasi', 'Gameplay'], 'scores': [0.519170880317688, 0.5086212754249573, 0.5084002017974854, 0.5083041191101074, 0.5076289772987366, 0.5054947137832642, 0.4998723864555359]}",[]
Pengguna Google,"bagus, gak pelit n banyak animasinya. alur ceritanya juga bagus gak neko². developer juga baik",5,2025-06-19 05:56:18,0,bagus pelit n banyak animasi alur cerita bagus neko developer baik,id,"{'sequence': 'bagus pelit n banyak animasi alur cerita bagus neko developer baik', 'labels': ['Cerita', 'Monetisasi & Gacha', 'Bugs & Error', 'Grafis', 'Komunitas', 'Optimalisasi', 'Gameplay'], 'scores': [0.5458291172981262, 0.5446814894676208, 0.5445215106010437, 0.5416130423545837, 0.5394462943077087, 0.5394303798675537, 0.5373071432113647]}",[]
Pengguna Google,Can't login,1,2025-06-19 03:08:42,1,cant login,fr,"{'sequence': 'cant login', 'labels': ['Cerita', 'Komunitas', 'Grafis', 'Gameplay', 'Bugs & Error', 'Monetisasi & Gacha', 'Optimalisasi'], 'scores': [0.5439667701721191, 0.534848690032959, 0.531283974647522, 0.526275634765625, 0.5258713960647583, 0.5250462889671326, 0.5234729051589966]}",[]
Pengguna Google,game RPG turn base terbagus saat ini🤤,5,2025-06-18 21:40:53,0,game rpg turn base bagus ini,id,"{'sequence': 'game rpg turn base bagus ini', 'labels': ['Cerita', 'Optimalisasi', 'Komunitas', 'Bugs & Error', 'Gameplay', 'Grafis', 'Monetisasi & Gacha'], 'scores': [0.5505550503730774, 0.5463429093360901, 0.545813262462616, 0.5451104044914246, 0.5449761748313904, 0.5428573489189148, 0.5416168570518494]}",[]
Pengguna Google,Powercreep aja terus,1,2025-06-18 17:58:21,0,powercreep terus,en,"{'sequence': 'powercreep terus', 'labels': ['Cerita', 'Grafis', 'Bugs & Error', 'Gameplay', 'Komunitas', 'Monetisasi & Gacha', 'Optimalisasi'], 'scores': [0.532943844795227, 0.5237374901771545, 0.5223483443260193, 0.5220524668693542, 0.5212063789367676, 0.5188286900520325, 0.5162432789802551]}",[]
Pengguna Google,Goood~,5,2025-06-18 14:49:32,0,goood,pendek,"{'sequence': 'goood', 'labels': ['Cerita', 'Komunitas', 'Gameplay', 'Bugs & Error', 'Grafis', 'Monetisasi & Gacha', 'Optimalisasi'], 'scores': [0.53218674659729, 0.5240601897239685, 0.5234769582748413, 0.5232906937599182, 0.5217217803001404, 0.5129005908966064, 0.5108715295791626]}",[]
Pengguna Google,Game nya bagus banget,5,2025-06-18 14:39:03,0,game bagus banget,id,"{'sequence': 'game bagus banget', 'labels': ['Cerita', 'Bugs & Error', 'Grafis', 'Komunitas', 'Gameplay', 'Optimalisasi', 'Monetisasi & Gacha'], 'scores': [0.5385562777519226, 0.5344951152801514, 0.5327133536338806, 0.5320063829421997, 0.5296257734298706, 0.5280689001083374, 0.52162766456604]}",[]
Pengguna Google,we need more 4 star characters!!!,1,2025-06-18 09:51:21,0,we need more star characters,en,"{'sequence': 'we need more star characters', 'labels': ['Cerita', 'Bugs & Error', 'Komunitas', 'Grafis', 'Gameplay', 'Monetisasi & Gacha', 'Optimalisasi'], 'scores': [0.5207099914550781, 0.5160506367683411, 0.5150178670883179, 0.5138740539550781, 0.5119048953056335, 0.5115624666213989, 0.5109475255012512]}",[]
Pengguna Google,"baru main udah nabung sampe 80x pull buat aglaea tapi gak dapet² 🥲, bikin malas main, cerita udah bagus grafik udah bagus masa gacha scam",3,2025-06-18 08:30:56,0,baru main udah nabung sampe x pull buat aglaea tidak dapet bikin malas main cerita udah bagus grafik udah bagus masa gacha scam,id,"{'sequence': 'baru main udah nabung sampe x pull buat aglaea tidak dapet bikin malas main cerita udah bagus grafik udah bagus masa gacha scam', 'labels': ['Cerita', 'Grafis', 'Komunitas', 'Monetisasi & Gacha', 'Bugs & Error', 'Optimalisasi', 'Gameplay'], 'scores': [0.49250057339668274, 0.4888854920864105, 0.4848572611808777, 0.48335814476013184, 0.48299625515937805, 0.48296278715133667, 0.48252424597740173]}",[]
Pengguna Google,"game nya seru banget apalagi alur cerita nya gak bosan dan cut scene nya bagus tapi di hp saya nge lag🥀🥀 gameplay nya bosan tapi gak apa lah, plis sistem gacha nya jgn pelit kek genshin",4,2025-06-18 07:56:10,0,game seru banget alur cerita bosan cut scene bagus di hp nge lag gameplay bosan tidak apa lah plis sistem gacha jgn pelit kek genshin,id,"{'sequence': 'game seru banget alur cerita bosan cut scene bagus di hp nge lag gameplay bosan tidak apa lah plis sistem gacha jgn pelit kek genshin', 'labels': ['Cerita', 'Grafis', 'Gameplay', 'Bugs & Error', 'Monetisasi & Gacha', 'Komunitas', 'Optimalisasi'], 'scores': [0.5584387183189392, 0.5557113885879517, 0.555516242980957, 0.5550371408462524, 0.5544103384017944, 0.5528438687324524, 0.5527409911155701]}",[]
