Nama Pengguna,Teks Ulasan,Rating Bintang,Tanggal Ulasan,Jumlah Likes,Ulasan Bersih
Pengguna Google,pelit pengen karakter aja susah malah dapet yg lain lain😡,1,2025-06-20 14:40:33,0,pelit ken karakter susah malah dapet lain
Pengguna Google,"farming artefak engga pernah dikasih stat/sub stat yang di incar terus pas ngegacha banner udah pity 80 masih aja gak dapet, kikir amat bjir",1,2025-06-20 14:00:33,0,farming artefak engga pernah kasih statsub stat di incar terus pas ngegacha banner udah pity saja dapet kikir bjir
Pengguna Google,"udah ngga worth it, perbaiki diri mu genshin, dengarin keluhan player mu, kau ngga akan bisa bertahan kalo player mu meninggalkan mu terlanjur kecewa",1,2025-06-20 13:49:19,0,udah ngga worth it baik diri mu genshin dengarin keluh player mu kau ngga bisa tahan kalau player mu tinggal mu lanjur kecewa
Pengguna Google,kasih fitur skip.,1,2025-06-20 13:22:21,0,kasih fitur skip
Pengguna Google,peak update,5,2025-06-20 13:16:04,0,peak update
Pengguna Google,seru,5,2025-06-20 12:54:24,0,seru
Pengguna Google,"game tidak ada perkembangan sama sekali, scene2 kaku, desain karakter.",1,2025-06-20 12:30:33,0,game ada kembang sama sekali scene kaku desain karakter
Pengguna Google,Kuota ku habis cuman untuk mendondlod data Diberi pilihan 20 GB/30GB,2,2025-06-20 12:19:57,0,kuota ku habis cuman mendondlod data beri pilih gbgb
Pengguna Google,bagus banget gamenya🤩,5,2025-06-20 11:42:21,0,bagus banget gamenya
Pengguna Google,game e apik poll lek hp ne kentang ojok maksa,5,2025-06-20 10:58:58,0,game e apik poll lek hp ne kentang ojok maksa
Pengguna Google,sering frame walau internet bagus,4,2025-06-20 10:33:48,0,sering frame internet bagus
Pengguna Google,bisa lebih dongo lagi kaga nih fansnya,5,2025-06-20 10:10:21,0,lebih dongo kaga nih fansnya
Pengguna Google,"game gaada perkembangan, kenapa si hoyo susah bgt bikin perkembangan di genshin? hsr hi3 zzz itu berkembang banget",1,2025-06-20 10:07:34,0,game gaada kembang si hoyo susah banget bikin kembang genshin hsr hi zzz kembang banget
Pengguna Google,game punya potensi tapi di pegang sama orang yang g kreatif,1,2025-06-20 10:03:35,10,game punya potensi di pegang sama orang g kreatif
Pengguna Google,game jelek mending main Wuthering Waves,1,2025-06-20 09:43:03,0,game jelek mending main wuthering waves
Pengguna Google,"terimakasih sudah tidak kikir,semoga makin banyak bansos. grafiknya keren, quest dan storynya luar biasa lorenya, ngebuat kita banyak berteori tentang asal usul teyvat. camera movementnya cinematic smooth keren. character lumayan balance gak kaya ""HSR"". Natlan tu apa lagi, wih bagus banget jadi dino di 6 tribe berbeda, fitur skip story sepertinya tidak butuh agar orang minimal tau story gak asal main dmg gede..overall game bagus, mungkin untuk early game memang agak berat tapi ya namanya proses",1,2025-06-20 09:37:19,6,terimakasih kikirsemoga makin banyak bansos grafik keren quest storynya luar biasa lorenya ngebuat banyak teori asal usul teyvat camera movementnya cinematic smooth keren character lumayan balance kaya hsr natlan tu apa wih bagus banget jadi dino tribe beda fitur skip story seperti butuh orang minimal tau story tidak asal main dmg gedeoverall game bagus mungkin early game memang berat ya nama proses
Pengguna Google,"the way they nerfed ayato just so ayaka can outshine him is just sucks, im losing hope with this game cause they make ayato kit so bad, imagine level 90 ayato with 70 crit rate and 180 crit damage yet my ayaka that i didnt build do more damage than him, its not a skill issue its just they made ayato have the worst kit out of all characters in genshin, its NOT fair especially since ayato is a 5 star they could do better and imagine c0 R1 arlecchino is actually better than C6 R5 ayato.",1,2025-06-20 09:23:55,0,the way they nerfed ayato just so ayaka can outshine him is just sucks im losing hope with this game cause they make ayato kit so bad imagine level ayato with crit rate and crit damage yet my ayaka that i didnt build do more damage than him its not a skill issue its just they made ayato have the worst kit out of all characters in genshin its not fair especially since ayato is a star they could do better and imagine c r arlecchino is actually better than c r ayato
Pengguna Google,kerenn,5,2025-06-20 08:15:31,0,kerenn
Pengguna Google,"game sampah, cuma ganti akun doang jadi ga bisa login lagii👎",1,2025-06-20 08:08:24,0,game sampah cuma ganti akun doang jadi bisa login lagi
Pengguna Google,Tolong tambah kan fitur Skip dialog sebagai player lama di genshin impact buat akun baru ini sangat lah mengganggu apa lagi quest arcon/dll dialog ya rata rata bisu npc ya tolong dong kasih Skip dialog,2,2025-06-20 07:56:31,1,tambah kan fitur skip dialog player lama genshin impact buat akun baru sangat lah ganggu apa quest arcondll dialog rata rata bisu npc tolong dong kasih skip dialog
Pengguna Google,echo nya kok w2p bnget ya? 😐,1,2025-06-20 07:10:17,0,echo wp bnget
Pengguna Google,"game nya sangat bagus dan cerita game nya juga sangat menarik, tapi tolong tambahkan fitur skip story",4,2025-06-20 07:05:21,1,game sangat bagus cerita game sangat tarik tolong tambah fitur skip story
Pengguna Google,bagus,5,2025-06-20 06:58:04,0,bagus
Pengguna Google,GAME TAI,1,2025-06-20 06:48:11,0,game tai
Pengguna Google,very good game,5,2025-06-20 06:47:09,0,very good game
Pengguna Google,kikirnya minta ampun,3,2025-06-20 06:35:13,0,kikir minta ampun
Pengguna Google,game nya kikir bgt juga lama lama gamenya ngebosenin dan event nya sama banyakan ngikutin kyk yg dulu dulu itu seru banget quest nya gk panjang banget gk banyak omong sedangkan sekarang malah banyakan ngomongnya daripada mainnya saya sangat ingin jika genshin tidak kikir lagi dan gk terlalu banyak ngomong tapi saya juga bermain game game hoyo lain tapi dia tidak kikir dan game nya tidak ngebosenin semoga genshin tobat,1,2025-06-20 06:25:08,0,game kikir banget lama lama gamenya ngebosenin event sama banyak ngikutin kyk dulu dulu seru banget quest gk panjang banget gk banyak omong sekarang malah banyak ngomongnya main sangat jika genshin kikir gk terlalu banyak ngomong saya main game game hoyo tapi kikir dan game tidak ngebosenin moga genshin tobat
Pengguna Google,semua udah bagus tapi Masi ada yang kurang,5,2025-06-20 06:12:42,0,semua udah bagus mas yang kurang
Pengguna Google,"good game, a game that is not boring right",5,2025-06-20 06:06:23,0,good game a game that is not boring right
Pengguna Google,sumpah petualangan nya bagus poll👍,5,2025-06-20 05:58:48,0,sumpah tualang bagus poll
Pengguna Google,"bintang satu lagi gara2 animasi sahabat gelembung, mau sampe kapan kalian bodoamatan sama animasinya njir, game udah berjalan 5 tahun bukannya improve malah makin turun",1,2025-06-20 05:56:57,14,bintang satu gara animasi sahabat gelembung mau sampe kapan kalian bodoamatan sama animasi njir game udah jalan tahun bukan improve malah makin turun
Pengguna Google,Kikir Impact,1,2025-06-20 05:44:29,0,kikir impact
Pengguna Google,makin kesini makin ampas story sama cutscene nya,1,2025-06-20 05:18:20,0,makin kesini makin ampas story sama cutscene
Pengguna Google,"game kikirrrrrr, are try to rob me huh why are you make the 5 star character so hard to get and every patch you just gave 50+ fate for f2p, atleast you can gave us more event or something my map now is 100 ℅ I can't get more primo than before",1,2025-06-20 04:54:27,0,game kikirrrrrr are try to rob me huh why are you make the star character so hard to get and every patch you just gave fate for fp atleast you can gave us more event or something my map now is i cant get more primo than before
