Nama Pengguna,Teks Ulasan,Rating Bintang,Tanggal Ulasan,Jumlah Likes
Pengguna Google,kalo hoki gw kasi bintang lima janji,4,2025-06-30 13:17:24,0
Pengguna Google,"jikalau ada hal yang baik, sebaiknya ditiru. seperti Honkai Star Rail & ZZZ , ketika ada karakter baru diberi 10x pull secara gratis. ayolah bisa kan ditambahkan ke dalam genshin juga 😍",1,2025-06-30 13:07:16,0
Pengguna Google,medit,1,2025-06-30 12:46:32,0
Pengguna Google,"Buat story jangan berharap lebih buat prolog. Buat penggambaran karakter bagus cuma gak dibarengi dengan penggambaran outfit yang kadang angin2an. Buat gameplay, game ini yang paling lambat dari game hoyo lainnya, dan terkesan monoton. Tapi, kalo buat open world udah bisa dibilang bagus.",3,2025-06-30 12:44:15,0
Pengguna Google,saya gak bisa ganti email udh saya tunggu lama tetap gak bisa tolong diperbaiki hoyo,1,2025-06-30 12:41:50,0
Pengguna Google,"Moga Kapan Kapan Ya Bisa Main Lg, Pokok Ny Ni Game RPG Paling Berkesan Story ny. & Yap, I'm Backkkk",5,2025-06-30 11:47:04,0
Pengguna Google,"Terimakasih Genshin impact, kamu telah mengajarkan ku bahwa sebuah Perjuangan akan di bayar dengan Kalah rate off dan mentok pity (primo cuman seuprit tiap patch nya)",1,2025-06-30 11:37:42,0
Pengguna Google,cocok buat Samsung J2 prem,5,2025-06-30 11:35:26,0
Pengguna Google,cocok untuk di mainkan di hp ram 1 gb,5,2025-06-30 11:33:57,0
Pengguna Google,"sebenernya ini game yang seru, tetapi primo dapat kita dapatkan di setiap patch sedikit sekali bila tak ada map baru. gimana para player bisa dapetin b5 di patch tersebut, kalo hanya punya sekitaran 50an kali pull untuk f2p? ga semua orang mau keluarin uang real hanya untuk game lho ya, wkwk",4,2025-06-30 11:31:52,1
Pengguna Google,"tolong upgrade game ny kaya grafik, story nya udh bagus tapi yapping nya kebanyakan, desain karakter sekarang pada ga bagus kaya ineffa,mavuika sama varesa,apalagi banyakan karakter cwo daripada cwe.padahal baru main 5.0 tapi pas 5.7 udah bosen aja.",2,2025-06-30 11:30:02,0
Pengguna Google,"gamenya bagus udah 1tahun lebih main ,Cuma tolong tambahin fitur bisa pake mouse sama keyboard di android gw main di tablet lebih enak pake keyboard dan mouse",4,2025-06-30 11:27:41,0
Pengguna Google,halo gelembung sahabat,1,2025-06-30 11:13:21,6
Pengguna Google,"The game is good, but I hope that the characters and NPCs are not too rigid so that when doing quests and exploration it is not boring. I will give it five stars if my request is realized.",4,2025-06-30 11:00:52,0
Pengguna Google,"Ini game sangat lahh baguss dan saya sangat menyukainya, tapii boleh ndak sekali-kali kasih karakter bintang 5 limeted gratis",5,2025-06-30 10:51:59,0
Pengguna Google,"Gw Cuma Minta SKIP BUTTON Soalnya Kebanyakan Yapping,",1,2025-06-30 10:50:37,0
Pengguna Google,"Main dari 1.0, dulu bikin masa covid terasa ringan. Musiknya luar biasa, terima kasih. Tapi makin ke sini, eksplor makin dipersulit, kit dijual lewat karakter, cerita makin repetitif, dan dev makin budeg. Feedback kayak dibuang ke laut. Spend waktu dan duit tapi nihil perbaikan. Sekarang cuma copium nunggu Columbina rilis. Udah lelah berharap. Dulu gemes, sekarang capek. Paimon, pls diam",1,2025-06-30 10:38:02,0
Pengguna Google,joki spiral di JESTERLYN x gelembung sahabat,2,2025-06-30 10:36:33,0
Pengguna Google,gelembung sahabat terbaik game ramah dan berkelaz kalo kalian ga kuat end game nonton aja konten creator hoyo kalo sanranku di Jeshulk,5,2025-06-30 10:34:54,0
Pengguna Google,hdeh udhlah pelit animasi dain di tunjukin batu bergoyang gelembut sahabat lagi,1,2025-06-30 10:28:24,0
Pengguna Google,data nya gk masuk padahal dh nyicil,4,2025-06-30 10:26:48,0
Pengguna Google,"kenapa makin kesini story nya makin jelek, kalau mau memahami story harus nyelesein semua story kayak arcon quest, side quest, tablet dll. Story nya kenapa gak di sampein di arcon quest aja semuanya biar enak dan catscene nya makin jelek kayak Dev miskin gak punya modal buat catscene bagus biar enak diliat.",1,2025-06-30 10:25:44,0
Pengguna Google,saya sangat suka dengan game ini ya walaupun ram HP tidak mendukung tapi saya tetap respect sama developer ny yg membuat game RPG petualangan saya kasih 5 bintang karna sangat bagus,5,2025-06-30 10:08:54,0
