Nama Pengguna,Teks Ulasan,Rating Bintang,Tanggal Ulasan,Jumlah Likes
Pengguna Google,untuk fitur di tablet layar nya sempit tidak panjang tambahkan fitur sudut pandang,1,2025-06-30 12:38:59,0
Pengguna Google,gamenya bagus gak ngebosenin developernya baik hati banget sama karakternya desainnya sangat bagus bagus dan juga ceritanya keren,5,2025-06-30 12:05:33,0
Pengguna Google,POWER CREEP NYA EDAN GK WORTH UNTUK F2P,1,2025-06-30 11:44:58,1
Pengguna Google,Best,5,2025-06-30 11:40:45,0
Pengguna Google,keren,5,2025-06-30 11:25:58,0
Pengguna Google,gabisa login bang 🙏,4,2025-06-30 10:54:06,0
Pengguna Google,game yang sangat bagus!,5,2025-06-30 10:19:22,0
Pengguna Google,game nya udah bagus tapi kekurangannya di sistem gacha/warp,5,2025-06-30 09:43:08,0
Pengguna Google,akuh suka tapi pake koota yah?,5,2025-06-30 08:55:52,0
Pengguna Google,absolute cinema,5,2025-06-30 08:48:38,0
Pengguna Google,gamenya bagus dan juga grafiknya memanjakan mata anda,5,2025-06-30 08:25:23,0
Pengguna Google,👎🏻,5,2025-06-30 08:15:09,2
Pengguna Google,sering stuck di mau masuk ga bisa,1,2025-06-30 05:07:20,1
Pengguna Google,Pliss anda game baik tapi banner nya ngotak dikit lh saya F2P kewalahan 😞,5,2025-06-30 04:32:33,1
Pengguna Google,bgus,5,2025-06-30 02:26:42,0
Pengguna Google,di awal dah berat musuh nya,1,2025-06-30 01:17:42,1
Pengguna Google,mantap sekarang ada fitur skip,5,2025-06-29 23:39:36,1
Pengguna Google,mantap,5,2025-06-29 14:03:09,0
Pengguna Google,"⭐⭐⭐⭐⭐ kalau sudah ada fitur skip story, namanyaa juga dev pasti nyari untung tiap patch nya Selebihnya bagus banget masih bisa main pakai redmi note 7 meski full rata kiri Sekian salam dari luofu",4,2025-06-29 13:41:49,0
Pengguna Google,"Hebat ini game, bisa banget menjadi obat ngantuk yang manjur. Baru 5 menit main, secara otomatis mata mengantuk dan siap tidur. Jadi saya merekomendasikan game ini bagi penderita insomnia 🙏🏻.",4,2025-06-29 09:33:30,0
Pengguna Google,gamenya baik lorenya mudh dipahamin tolong untuk mcnya powernya lebih diperkuat,5,2025-06-29 09:03:22,0
Pengguna Google,eror muluk kalo mau masuk gaem nya,4,2025-06-29 07:28:12,0
Pengguna Google,Sudah bagus dapat bintang 5 udah tak usahain top up pula eh malah kalah sama hp inflasi di konten end game nya. Gak ngotak emng. bintang 1 lah. percuma top up,1,2025-06-29 05:01:33,20
Pengguna Google,"suki!!!, bosss susahhh tp bansos gacorrr",2,2025-06-29 03:49:42,0
Pengguna Google,game bagus,5,2025-06-29 03:03:45,0
Pengguna Google,"bagus, sangat puas bermainnya",5,2025-06-29 02:23:16,0
Pengguna Google,bagus,5,2025-06-28 23:50:42,0
Pengguna Google,good game,5,2025-06-28 23:03:59,0
Pengguna Google,"HP inflation, BLACK SCREEN, The FAVORITISM between two anniversary character 💀 even in his trailer Anaxa can not standing alone, A MILLION DOLLAR COMPANY with greedy behavior but at least you make PHAINON so great for Kevin expy",3,2025-06-28 18:08:14,3
Pengguna Google,TERUSKAN KERJA BAGUS MU HOYO (tambahkan cutscene yah) dan perbanyak hadiah dari event (aku mau saber) KEEP UP THE GOOD WORK HOYO (add cutscenes please) and increase the rewards from the event (I want saber),5,2025-06-28 16:36:05,0
Pengguna Google,"GAME INI SANGAT LAYAK DIMAINKAN! Kenapa? Game ini bisa memberikan kita karakter b5 gratis, dari anniv,atau banner collab (pas login) gak kayak yg sebelah tuh,Oh ya, satu hal lagi, kita bisa melakukan event sebelumnya yg belum pernah kita lakukan sebelumnya,Btw,aku suka banget sama pemandangan map nya,dan story quest nya,walaupun banyak yapping dari karakter,dan yg paling aku suka ada fitur reroll artefak,dimana kita bisa ganti efek dari efek jelek jadi op,jadi,bintang 5 untukmu HSR!!",5,2025-06-28 12:19:51,17
Pengguna Google,Fitur skip story please!!!,1,2025-06-28 07:19:29,1
Pengguna Google,"Overall bagus, but please add skip buttonnnn aaaa",4,2025-06-28 04:31:19,0
Pengguna Google,"hp inflasi nya mencekik, g ramah banget.",2,2025-06-28 04:16:19,0
Pengguna Google,"story bagus, grafik jempolan, karakter mantap, bansos lancar. tinggal inflasi hp bos aja tolong dipikir-pikir lagi.",5,2025-06-28 03:18:36,0
Pengguna Google,sistem gacha nya tolong di permudah,5,2025-06-28 01:36:18,1
Pengguna Google,always login stuck,1,2025-06-28 00:45:39,0
Pengguna Google,Yo nakama. Best friendo 👊,5,2025-06-27 23:29:29,0
Pengguna Google,"ku mohon untuk animasi saber saat sehabis ulti (enchance) itu pedang nya di ubah menjadi excalibur sampai enchance nya habis, dan tolong sekali untuk animasi saat skill enchance nya di perbagus",2,2025-06-27 16:39:43,0
Pengguna Google,"Saya ngebahas kekurangan dan kelebihan kelebihan:Grafik bagus, story bagus, gameplay seru, karakter unik, tidak kikir kekurangan: HP Inflation, bos hoolay babi, powercreep gila",4,2025-06-27 13:41:41,9
Pengguna Google,"Sebenarnya story dan gameplay nya bagus tapi tolong kalau mau ngepowercreep jangan pakai hp inflation lah. Di reverse 1999 juga ada beberapa meta yang kuat tapi semuanya ada gimik dan cara counternya masing-masing. Contoh. Ultimate di counter sama moxie merah follow up di counter sama musuh yang nambah hp/defense poison, burn, stun di counter sama imun. kalau game ini bisa menyontoh cara powerceep seperti itu game ini akan menyenangkan. Ini bukan untuk mengadu tapi cuma memberi contoh dan saran",4,2025-06-27 12:52:35,0
Pengguna Google,Saya sudah lama berhenti main dan mencoba kembali untuk bermain dengan memanfaatkan apa saja yang saya dapat dari bonus pemain kembali. tapi saya masih kesusahan untuk menyelesaikan Konten dan terasa di haruskan mendapatkan karakter op terbaru saat ini.,1,2025-06-27 11:52:25,0
Pengguna Google,laki gua mati💔💔,5,2025-06-27 11:21:18,0
Pengguna Google,Absolute Master Piece ✋😐🤚 walau baru di planet pertama tapi ini game storynya EMG masterpiece --✋😐🤚(menurutku),5,2025-06-27 10:58:28,0
Pengguna Google,iya bagus dan honkai star rail oke ✨✨🌠,5,2025-06-27 06:46:16,0
Pengguna Google,👍🏻👍🏻👍🏻,5,2025-06-27 05:50:44,0
Pengguna Google,STOP GIVEING MY ACCOUNT HARD PITY,1,2025-06-27 05:19:24,0
Pengguna Google,"perbaiki login error saat mau main, sinyal sudah bagus hp juga mendukung tapi tetep aja error terus",5,2025-06-27 02:23:04,0
Pengguna Google,"Terdapat bug saat SU (simulated universe), layar terus hitam atau event yang ga bisa di apa-apa kan, oleh karena itu saya jadi harus berhenti di tengah² dan ngulang dari awal lagi",1,2025-06-26 20:05:00,4
