,Nama Pengguna,Teks Ulasan,Rating Bintang,Tanggal Ulasan,Jumlah Likes,Ulasan Bersih,bahasa,auto_labels,auto_labels_list
0,Pengguna Google,game yang menarik,5,2025-06-20 14:22:34,0,game tarik,id,"{'sequence': 'game tarik', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Cerita', 'Gameplay', 'Optimalisasi', 'Bugs & Error'], 'scores': [0.44377681612968445, 0.43633195757865906, 0.43231672048568726, 0.43211105465888977, 0.42615723609924316, 0.42141857743263245, 0.4207164943218231]}",[]
1,Pengguna Google,"grafik, karakter dan optimisasi sangat sangat bagus tapi tidak ada bahasa Indonesia, semoga update kedepannya ada bahasa Indonesia",5,2025-06-20 13:50:34,0,grafik karakter optimisasi sangat sangat bagus tidak bahasa indonesia moga update depan bahasa indonesia,id,"{'sequence': 'grafik karakter optimisasi sangat sangat bagus tidak bahasa indonesia moga update depan bahasa indonesia', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Optimalisasi', 'Gameplay', 'Cerita', 'Bugs & Error'], 'scores': [0.4254056215286255, 0.42186397314071655, 0.4199603199958801, 0.41823863983154297, 0.415379136800766, 0.4153485596179962, 0.41277191042900085]}",[]
2,Pengguna Google,saya berharap setelah story mendapatkan lebih banyak diamond,4,2025-06-20 12:50:21,0,harap story dapat lebih banyak diamond,id,"{'sequence': 'harap story dapat lebih banyak diamond', 'labels': ['Monetisasi & Gacha', 'Optimalisasi', 'Komunitas', 'Grafis', 'Cerita', 'Gameplay', 'Bugs & Error'], 'scores': [0.41994717717170715, 0.41172030568122864, 0.4116515517234802, 0.4071081280708313, 0.40470725297927856, 0.40448519587516785, 0.40424519777297974]}",[]
3,Pengguna Google,Samsung A55 main di settingan low sambil pakai cooler tapi baru setengah jam udah nge lag parah bahkan sampai force close,3,2025-06-20 12:35:52,0,samsung a main settingan low pakai cooler baru tengah jam udah nge lag parah bahkan force close,id,"{'sequence': 'samsung a main settingan low pakai cooler baru tengah jam udah nge lag parah bahkan force close', 'labels': ['Grafis', 'Monetisasi & Gacha', 'Optimalisasi', 'Komunitas', 'Gameplay', 'Cerita', 'Bugs & Error'], 'scores': [0.42319390177726746, 0.4230441153049469, 0.4222724735736847, 0.41923364996910095, 0.41536661982536316, 0.41503870487213135, 0.4146113991737366]}",[]
4,Pengguna Google,weel played aku kasih bintang satu karena aku nguli 3 bulan 10456 satrird kalah rate off di cartethiya pity 75 dapet jianxing emang game gacha itu buang buang waktu ku aja dasarnya ya sudah lah,1,2025-06-20 12:20:46,6,weel played aku kasih bintang satu aku nguli bulan satrird kalah rate off cartethiya pity dapet jianxing emang game gacha buang buang waktu ku dasar sudah lah,id,"{'sequence': 'weel played aku kasih bintang satu aku nguli bulan satrird kalah rate off cartethiya pity dapet jianxing emang game gacha buang buang waktu ku dasar sudah lah', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Cerita', 'Optimalisasi', 'Gameplay', 'Bugs & Error'], 'scores': [0.41252991557121277, 0.4123152792453766, 0.4100044369697571, 0.4092070460319519, 0.4091329574584961, 0.408143550157547, 0.4040187895298004]}",[]
5,Pengguna Google,terimakasih game baik,5,2025-06-20 12:19:30,0,terimakasih game baik,id,"{'sequence': 'terimakasih game baik', 'labels': ['Komunitas', 'Monetisasi & Gacha', 'Cerita', 'Optimalisasi', 'Grafis', 'Gameplay', 'Bugs & Error'], 'scores': [0.41470229625701904, 0.4110260009765625, 0.41091203689575195, 0.4071744680404663, 0.4069085121154785, 0.4065326452255249, 0.3985157310962677]}",[]
6,Pengguna Google,"seru banget, terus Dev nya baik bgt",5,2025-06-20 11:45:52,0,seru banget terus dev baik banget,id,"{'sequence': 'seru banget terus dev baik banget', 'labels': ['Komunitas', 'Optimalisasi', 'Gameplay', 'Monetisasi & Gacha', 'Grafis', 'Cerita', 'Bugs & Error'], 'scores': [0.43370503187179565, 0.4267805218696594, 0.4259788393974304, 0.42551189661026, 0.4239812195301056, 0.4236025810241699, 0.41312894225120544]}",[]
7,Pengguna Google,sangat sesuai expetasi,5,2025-06-20 11:20:57,0,sangat sesuai expetasi,id,"{'sequence': 'sangat sesuai expetasi', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Optimalisasi', 'Cerita', 'Gameplay', 'Bugs & Error'], 'scores': [0.44222453236579895, 0.4337172508239746, 0.42745140194892883, 0.42569825053215027, 0.42345961928367615, 0.4170563220977783, 0.4155005216598511]}",[]
8,Pengguna Google,It is so good,5,2025-06-20 11:18:41,0,it is so good,en,"{'sequence': 'it is so good', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Cerita', 'Grafis', 'Bugs & Error', 'Gameplay', 'Optimalisasi'], 'scores': [0.4455583691596985, 0.42686188220977783, 0.4209919571876526, 0.41714081168174744, 0.4166835844516754, 0.4162367582321167, 0.4106979966163635]}",[]
9,Pengguna Google,"gamenya bagus sekali pake banget tolong bgt donk devnya kasi bahasa indonesia,rugi donk klu game sebagus ini gk ada bahasa indonesianya🥺🥺🥺🥺🥺",5,2025-06-20 11:06:10,0,gamenya bagus sekali pake banget banget donk devnya kasi bahasa indonesiarugi donk klu game bagus gk bahasa indonesia,id,"{'sequence': 'gamenya bagus sekali pake banget banget donk devnya kasi bahasa indonesiarugi donk klu game bagus gk bahasa indonesia', 'labels': ['Komunitas', 'Monetisasi & Gacha', 'Grafis', 'Optimalisasi', 'Cerita', 'Gameplay', 'Bugs & Error'], 'scores': [0.4378385543823242, 0.43703821301460266, 0.43431785702705383, 0.43075013160705566, 0.42622965574264526, 0.42569500207901, 0.4245520234107971]}",[]
10,Pengguna Google,mohon tambahkan bahasa indonesia,2,2025-06-20 11:01:50,0,mohon tambah bahasa indonesia,id,"{'sequence': 'mohon tambah bahasa indonesia', 'labels': ['Komunitas', 'Monetisasi & Gacha', 'Cerita', 'Grafis', 'Gameplay', 'Optimalisasi', 'Bugs & Error'], 'scores': [0.400625616312027, 0.39760568737983704, 0.3951244354248047, 0.3894464373588562, 0.3848860263824463, 0.383821964263916, 0.3810058832168579]}",[]
11,Pengguna Google,"For the Kuro Games developer, I'm just an ordinary player from Indonesia who experienced a few obstacles, namely the lack of Indonesian subtitles, but overall the gameplay, gacha system, graphic visuals , and the storyline is good, but back to the topic, many Indonesian players experience a lack of understanding of the Wuthering Waves story due to the problem of subtitles not being in Indonesian, so the conclusion is that hopefully in future updates Indonesian subtitles will be added🤝🤝",5,2025-06-20 10:36:29,0,for the kuro games developer im just an ordinary player from indonesia who experienced a few obstacles namely the lack of indonesian subtitles but overall the gameplay gacha system graphic visuals and the storyline is good but back to the topic many indonesian players experience a lack of understanding of the wuthering waves story due to the problem of subtitles not being in indonesian so the conclusion is that hopefully in future updates indonesian subtitles will be added,en,"{'sequence': 'for the kuro games developer im just an ordinary player from indonesia who experienced a few obstacles namely the lack of indonesian subtitles but overall the gameplay gacha system graphic visuals and the storyline is good but back to the topic many indonesian players experience a lack of understanding of the wuthering waves story due to the problem of subtitles not being in indonesian so the conclusion is that hopefully in future updates indonesian subtitles will be added', 'labels': ['Komunitas', 'Monetisasi & Gacha', 'Gameplay', 'Grafis', 'Optimalisasi', 'Cerita', 'Bugs & Error'], 'scores': [0.47621607780456543, 0.4755397140979767, 0.47262880206108093, 0.47086766362190247, 0.46889573335647583, 0.46776023507118225, 0.46754464507102966]}",[]
